State,Default
AK,11.69371619
AL,16.61483254
AR,16.80088426
AZ,20.75011348
CA,18.5151125
CO,17.82211865
CT,14.04304445
DC,23.99256045
DE,17.96625627
FL,27.36939211
GA,23.96282328
HI,15.24812864
IA,11.53011847
ID,14.09014322
IL,22.67013584
IN,17.62909298
KS,13.06852903
KY,19.39119171
LA,18.07732497
MA,12.98023274
MD,19.71491063
ME,9.819774297
MI,22.50524569
MN,11.69588243
MO,15.26244432
MS,15.88419405
MT,6.798672313
NC,19.28461431
ND,7.676150468
NE,11.37752703
NH,10.72111786
NJ,20.11245314
NM,10.91934949
NV,23.223635
NY,19.94982054
OH,16.45947443
OK,15.52538964
OR,15.28847025
PA,14.62314301
RI,11.35449262
SC,20.46470063
SD,7.88166215
TN,21.21276596
TX,18.8420619
UT,17.66460686
VA,18.830923
VT,7.436039021
WA,14.05289185
WI,12.17829789
WV,16.13394216
WY,7.011980268
